time,step,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z,actual_roll,actual_pitch,actual_yaw,expected_roll,expected_pitch,expected_yaw,error_x_mm,error_y_mm,error_z_mm,error_roll_deg,error_pitch_deg,error_yaw_deg,cycle_time_ms
0.000000,0,0.091299,-0.231339,0.663118,0.091299,-0.231339,0.663118,-131.338848,60.788167,49.677224,-131.338848,60.788167,49.677224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.002000,1,0.091302,-0.231338,0.663122,0.090946,-0.231336,0.663067,-131.329305,60.804614,49.696824,-131.240472,60.847480,49.736420,0.355853,-0.001892,0.055497,0.004682,-0.060751,0.037965,2.000000
0.004000,2,0.091306,-0.231337,0.663130,0.090593,-0.231335,0.663015,-131.312132,60.833592,49.732092,-131.140639,60.907533,49.796141,0.713338,-0.002579,0.114195,0.002439,-0.111491,0.085752,2.000000
0.006000,3,0.091311,-0.231336,0.663138,0.090239,-0.231334,0.662963,-131.288840,60.872133,49.779803,-131.039343,60.968325,49.856394,1.071366,-0.002001,0.174940,-0.004940,-0.154703,0.141462,2.000000
0.008000,4,0.091315,-0.231334,0.663148,0.089886,-0.231334,0.662911,-131.260629,60.917981,49.837302,-130.936580,61.029855,49.917189,1.428948,-0.000164,0.236861,-0.016119,-0.192295,0.203489,2.000000
0.010000,5,0.091318,-0.231331,0.663157,0.089533,-0.231334,0.662858,-131.228451,60.969429,49.902396,-130.832345,61.092121,49.978534,1.785190,0.002882,0.299297,-0.030100,-0.225728,0.270467,2.000000
0.012000,6,0.091319,-0.231328,0.663166,0.089180,-0.231335,0.662805,-131.193067,61.025184,49.973266,-130.726635,61.155121,50.040438,2.139288,0.007059,0.361745,-0.046136,-0.256124,0.341237,2.000000
0.014000,7,0.091318,-0.231325,0.663175,0.088827,-0.231337,0.662751,-131.155078,61.084266,50.048404,-130.619445,61.218854,50.102911,2.490522,0.012275,0.423815,-0.063676,-0.284341,0.414813,2.000000
0.016000,8,0.091313,-0.231321,0.663182,0.088474,-0.231340,0.662697,-131.114965,61.145934,50.126556,-130.510771,61.283318,50.165962,2.838249,0.018430,0.485203,-0.082307,-0.311037,0.490353,2.000000
0.018000,9,0.091304,-0.231318,0.663189,0.088122,-0.231343,0.662643,-131.073104,61.209628,50.206679,-130.400607,61.348512,50.229601,3.181903,0.025421,0.545670,-0.101721,-0.336713,0.567139,2.000000
0.020000,10,0.091290,-0.231314,0.663193,0.087769,-0.231348,0.662588,-131.029792,61.274926,50.287905,-130.288951,61.414434,50.293837,3.520980,0.033151,0.605018,-0.121689,-0.361751,0.644559,2.000000
0.022000,11,0.091272,-0.231311,0.663196,0.087417,-0.231353,0.662533,-130.985260,61.341508,50.369516,-130.175798,61.481083,50.358680,3.855038,0.041526,0.663087,-0.142040,-0.386442,0.722089,2.000000
0.024000,12,0.091248,-0.231308,0.663198,0.087065,-0.231359,0.662478,-130.939682,61.409133,50.450916,-130.061144,61.548457,50.424141,4.183690,0.050460,0.719740,-0.162643,-0.411005,0.799282,2.000000
0.026000,13,0.091220,-0.231305,0.663198,0.086713,-0.231365,0.662423,-130.893190,61.477618,50.531612,-129.944984,61.616554,50.490229,4.506598,0.059875,0.774855,-0.183401,-0.435603,0.875755,2.000000
