step,t_s,segment,status,traj_t,left_error_m,right_error_m,left_speed_mps,right_speed_mps,left_target_x_m,left_target_y_m,left_target_z_m,left_actual_x_m,left_actual_y_m,left_actual_z_m,right_target_x_m,right_target_y_m,right_target_z_m,right_actual_x_m,right_actual_y_m,right_actual_z_m,tau_00_nm,tau_01_nm,tau_02_nm,tau_03_nm,tau_04_nm,tau_05_nm,tau_06_nm,tau_07_nm,tau_08_nm,tau_09_nm,tau_10_nm,tau_11_nm,tau_12_nm,tau_13_nm,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,qd_00_rad_s,qd_01_rad_s,qd_02_rad_s,qd_03_rad_s,qd_04_rad_s,qd_05_rad_s,qd_06_rad_s,qd_07_rad_s,qd_08_rad_s,qd_09_rad_s,qd_10_rad_s,qd_11_rad_s,qd_12_rad_s,qd_13_rad_s
1800,1.800000,home_hold,0,1.801000,0.000005141,0.000005354,0.010225156,0.010702816,0.071867500,0.215360776,0.012730000,0.071868833,0.215355896,0.012729084,0.163132424,-0.212337808,0.022708944,0.163134102,-0.212332736,0.022709290,0.434376794,0.051807104,0.032915798,-0.137176742,0.033891890,0.050200798,0.002516188,0.375281214,-0.093181383,-0.040829291,0.652432973,-0.022803319,-0.055227074,-0.026392685,-0.000010340,-0.000023130,-0.000401429,-0.000016608,0.000484234,0.000117213,0.000011483,-0.000014881,-0.000004719,0.000096638,0.300027551,-0.000157152,-0.000131797,-0.000001373,0.000284831,-0.048106010,-0.840616802,0.008575202,1.006513999,0.235718830,-0.000156127,0.000361391,-0.008814635,0.187621511,-0.002915813,-0.308644661,-0.260605008,-0.028960033
1810,1.810000,home_hold,0,1.811000,0.000005141,0.000005354,0.010225155,0.010702815,0.071867500,0.215360776,0.012730000,0.071868833,0.215355896,0.012729084,0.163132424,-0.212337808,0.022708944,0.163134101,-0.212332736,0.022709295,0.434376627,0.051807079,0.032915796,-0.137176874,0.033891894,0.050200774,0.002516188,0.375281017,-0.093181361,-0.040829297,0.652433098,-0.022803318,-0.055227064,-0.026392686,-0.000010399,-0.000023130,-0.000401417,-0.000016724,0.000484221,0.000117213,0.000011540,-0.000014955,-0.000004719,0.000096638,0.300027694,-0.000157151,-0.000131801,-0.000001302,0.000284830,-0.048106046,-0.840616813,0.008575203,1.006514029,0.235718650,-0.000156131,0.000361402,-0.008814633,0.187621291,-0.002915831,-0.308644444,-0.260604919,-0.028960038
1820,1.820000,home_hold,0,1.821000,0.000005141,0.000005354,0.010225154,0.010702815,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729084,0.163132424,-0.212337808,0.022708944,0.163134100,-0.212332736,0.022709300,0.434376461,0.051807055,0.032915793,-0.137177006,0.033891897,0.050200749,0.002516187,0.375280820,-0.093181339,-0.040829303,0.652433222,-0.022803317,-0.055227054,-0.026392686,-0.000010458,-0.000023129,-0.000401404,-0.000016839,0.000484207,0.000117214,0.000011598,-0.000015028,-0.000004718,0.000096638,0.300027837,-0.000157151,-0.000131806,-0.000001231,0.000284829,-0.048106082,-0.840616824,0.008575203,1.006514060,0.235718471,-0.000156135,0.000361412,-0.008814632,0.187621071,-0.002915848,-0.308644228,-0.260604831,-0.028960042
1830,1.830000,home_hold,0,1.831000,0.000005141,0.000005354,0.010225152,0.010702814,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729084,0.163132424,-0.212337808,0.022708944,0.163134100,-0.212332736,0.022709305,0.434376294,0.051807030,0.032915790,-0.137177138,0.033891901,0.050200725,0.002516186,0.375280623,-0.093181317,-0.040829308,0.652433346,-0.022803316,-0.055227043,-0.026392687,-0.000010517,-0.000023129,-0.000401391,-0.000016954,0.000484194,0.000117214,0.000011655,-0.000015102,-0.000004717,0.000096639,0.300027980,-0.000157150,-0.000131810,-0.000001160,0.000284828,-0.048106119,-0.840616835,0.008575203,1.006514091,0.235718291,-0.000156139,0.000361422,-0.008814630,0.187620851,-0.002915865,-0.308644012,-0.260604743,-0.028960046
1840,1.840000,home_hold,0,1.841000,0.000005141,0.000005354,0.010225151,0.010702814,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729083,0.163132424,-0.212337808,0.022708944,0.163134099,-0.212332736,0.022709310,0.434376128,0.051807005,0.032915788,-0.137177270,0.033891904,0.050200701,0.002516186,0.375280427,-0.093181295,-0.040829314,0.652433471,-0.022803315,-0.055227033,-0.026392688,-0.000010576,-0.000023128,-0.000401378,-0.000017070,0.000484181,0.000117214,0.000011712,-0.000015175,-0.000004716,0.000096639,0.300028123,-0.000157149,-0.000131815,-0.000001089,0.000284827,-0.048106155,-0.840616847,0.008575203,1.006514122,0.235718112,-0.000156144,0.000361433,-0.008814628,0.187620631,-0.002915882,-0.308643796,-0.260604656,-0.028960051
1850,1.850000,home_hold,0,1.851000,0.000005141,0.000005354,0.010225150,0.010702813,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729083,0.163132424,-0.212337808,0.022708944,0.163134098,-0.212332736,0.022709315,0.434375961,0.051806980,0.032915785,-0.137177401,0.033891907,0.050200676,0.002516185,0.375280231,-0.093181273,-0.040829320,0.652433595,-0.022803314,-0.055227023,-0.026392689,-0.000010635,-0.000023128,-0.000401365,-0.000017185,0.000484168,0.000117215,0.000011769,-0.000015248,-0.000004716,0.000096639,0.300028265,-0.000157149,-0.000131819,-0.000001018,0.000284826,-0.048106191,-0.840616858,0.008575203,1.006514152,0.235717932,-0.000156148,0.000361443,-0.008814627,0.187620412,-0.002915900,-0.308643580,-0.260604568,-0.028960055
1860,1.860000,home_hold,0,1.861000,0.000005141,0.000005354,0.010225148,0.010702812,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729083,0.163132424,-0.212337808,0.022708944,0.163134098,-0.212332737,0.022709320,0.434375795,0.051806955,0.032915783,-0.137177533,0.033891911,0.050200652,0.002516185,0.375280035,-0.093181251,-0.040829326,0.652433718,-0.022803313,-0.055227013,-0.026392690,-0.000010694,-0.000023128,-0.000401352,-0.000017300,0.000484155,0.000117215,0.000011826,-0.000015321,-0.000004715,0.000096639,0.300028407,-0.000157148,-0.000131823,-0.000000947,0.000284825,-0.048106227,-0.840616869,0.008575203,1.006514183,0.235717753,-0.000156152,0.000361453,-0.008814625,0.187620193,-0.002915917,-0.308643365,-0.260604481,-0.028960060
1870,1.870000,home_hold,0,1.871000,0.000005141,0.000005354,0.010225147,0.010702812,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729083,0.163132424,-0.212337808,0.022708944,0.163134097,-0.212332737,0.022709324,0.434375628,0.051806930,0.032915780,-0.137177665,0.033891914,0.050200627,0.002516184,0.375279840,-0.093181229,-0.040829332,0.652433842,-0.022803312,-0.055227003,-0.026392691,-0.000010753,-0.000023127,-0.000401340,-0.000017416,0.000484142,0.000117215,0.000011884,-0.000015394,-0.000004714,0.000096640,0.300028549,-0.000157147,-0.000131828,-0.000000876,0.000284824,-0.048106264,-0.840616881,0.008575203,1.006514214,0.235717574,-0.000156156,0.000361463,-0.008814623,0.187619974,-0.002915934,-0.308643150,-0.260604394,-0.028960064
1880,1.880000,home_hold,0,1.881000,0.000005141,0.000005354,0.010225145,0.010702811,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729083,0.163132424,-0.212337808,0.022708944,0.163134097,-0.212332737,0.022709329,0.434375461,0.051806905,0.032915778,-0.137177797,0.033891918,0.050200603,0.002516184,0.375279645,-0.093181208,-0.040829338,0.652433966,-0.022803311,-0.055226993,-0.026392692,-0.000010812,-0.000023127,-0.000401327,-0.000017531,0.000484129,0.000117216,0.000011941,-0.000015467,-0.000004713,0.000096640,0.300028691,-0.000157147,-0.000131832,-0.000000806,0.000284823,-0.048106300,-0.840616892,0.008575204,1.006514244,0.235717394,-0.000156159,0.000361474,-0.008814621,0.187619756,-0.002915951,-0.308642935,-0.260604307,-0.028960069
1890,1.890000,home_hold,0,1.891000,0.000005141,0.000005354,0.010225144,0.010702811,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729082,0.163132424,-0.212337808,0.022708944,0.163134096,-0.212332737,0.022709334,0.434375295,0.051806881,0.032915775,-0.137177929,0.033891921,0.050200579,0.002516183,0.375279450,-0.093181186,-0.040829343,0.652434089,-0.022803310,-0.055226983,-0.026392693,-0.000010871,-0.000023126,-0.000401314,-0.000017646,0.000484115,0.000117216,0.000011998,-0.000015540,-0.000004713,0.000096640,0.300028833,-0.000157146,-0.000131836,-0.000000735,0.000284822,-0.048106336,-0.840616903,0.008575204,1.006514275,0.235717215,-0.000156163,0.000361484,-0.008814620,0.187619538,-0.002915968,-0.308642721,-0.260604220,-0.028960073
1900,1.900000,home_hold,0,1.901000,0.000005141,0.000005354,0.010225143,0.010702810,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729082,0.163132424,-0.212337808,0.022708944,0.163134095,-0.212332737,0.022709339,0.434375128,0.051806856,0.032915772,-0.137178061,0.033891925,0.050200554,0.002516183,0.375279255,-0.093181165,-0.040829349,0.652434212,-0.022803309,-0.055226973,-0.026392694,-0.000010930,-0.000023126,-0.000401301,-0.000017762,0.000484102,0.000117216,0.000012055,-0.000015613,-0.000004712,0.000096640,0.300028974,-0.000157145,-0.000131840,-0.000000665,0.000284822,-0.048106372,-0.840616914,0.008575204,1.006514306,0.235717036,-0.000156167,0.000361494,-0.008814618,0.187619320,-0.002915986,-0.308642507,-0.260604134,-0.028960078
1910,1.910000,home_hold,0,1.911000,0.000005141,0.000005354,0.010225141,0.010702809,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729082,0.163132424,-0.212337808,0.022708944,0.163134095,-0.212332737,0.022709344,0.434374961,0.051806831,0.032915770,-0.137178193,0.033891928,0.050200530,0.002516182,0.375279061,-0.093181144,-0.040829355,0.652434335,-0.022803309,-0.055226963,-0.026392695,-0.000010989,-0.000023125,-0.000401288,-0.000017877,0.000484089,0.000117216,0.000012112,-0.000015685,-0.000004711,0.000096640,0.300029115,-0.000157145,-0.000131844,-0.000000594,0.000284821,-0.048106409,-0.840616926,0.008575204,1.006514337,0.235716857,-0.000156171,0.000361504,-0.008814616,0.187619102,-0.002916003,-0.308642293,-0.260604047,-0.028960082
1920,1.920000,home_hold,0,1.921000,0.000005141,0.000005354,0.010225140,0.010702809,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729082,0.163132424,-0.212337808,0.022708944,0.163134094,-0.212332737,0.022709349,0.434374794,0.051806806,0.032915767,-0.137178325,0.033891932,0.050200506,0.002516182,0.375278867,-0.093181122,-0.040829361,0.652434458,-0.022803308,-0.055226953,-0.026392696,-0.000011048,-0.000023125,-0.000401275,-0.000017992,0.000484076,0.000117216,0.000012169,-0.000015758,-0.000004711,0.000096641,0.300029256,-0.000157144,-0.000131849,-0.000000524,0.000284820,-0.048106445,-0.840616937,0.008575204,1.006514367,0.235716678,-0.000156175,0.000361514,-0.008814614,0.187618885,-0.002916020,-0.308642080,-0.260603961,-0.028960087
1930,1.930000,home_hold,0,1.931000,0.000005141,0.000005354,0.010225139,0.010702808,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729082,0.163132424,-0.212337808,0.022708944,0.163134093,-0.212332737,0.022709354,0.434374628,0.051806782,0.032915765,-0.137178457,0.033891935,0.050200481,0.002516181,0.375278673,-0.093181101,-0.040829367,0.652434581,-0.022803307,-0.055226943,-0.026392697,-0.000011107,-0.000023125,-0.000401263,-0.000018108,0.000484063,0.000117216,0.000012226,-0.000015830,-0.000004710,0.000096641,0.300029397,-0.000157144,-0.000131853,-0.000000454,0.000284819,-0.048106481,-0.840616948,0.008575204,1.006514398,0.235716499,-0.000156179,0.000361525,-0.008814612,0.187618668,-0.002916037,-0.308641866,-0.260603875,-0.028960091
1940,1.940000,home_hold,0,1.941000,0.000005141,0.000005355,0.010225137,0.010702808,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729081,0.163132424,-0.212337808,0.022708944,0.163134093,-0.212332737,0.022709359,0.434374461,0.051806757,0.032915762,-0.137178589,0.033891938,0.050200457,0.002516181,0.375278480,-0.093181080,-0.040829372,0.652434703,-0.022803306,-0.055226934,-0.026392698,-0.000011166,-0.000023124,-0.000401250,-0.000018223,0.000484050,0.000117217,0.000012284,-0.000015903,-0.000004709,0.000096641,0.300029538,-0.000157143,-0.000131857,-0.000000384,0.000284818,-0.048106518,-0.840616960,0.008575204,1.006514429,0.235716319,-0.000156182,0.000361535,-0.008814610,0.187618452,-0.002916054,-0.308641653,-0.260603789,-0.028960096
1950,1.950000,home_hold,0,1.951000,0.000005141,0.000005355,0.010225136,0.010702807,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729081,0.163132424,-0.212337808,0.022708944,0.163134092,-0.212332737,0.022709363,0.434374294,0.051806732,0.032915760,-0.137178721,0.033891942,0.050200433,0.002516180,0.375278287,-0.093181059,-0.040829378,0.652434826,-0.022803305,-0.055226924,-0.026392699,-0.000011225,-0.000023124,-0.000401237,-0.000018339,0.000484037,0.000117217,0.000012341,-0.000015975,-0.000004709,0.000096641,0.300029678,-0.000157142,-0.000131861,-0.000000314,0.000284817,-0.048106554,-0.840616971,0.008575205,1.006514459,0.235716140,-0.000156186,0.000361545,-0.008814609,0.187618235,-0.002916071,-0.308641441,-0.260603704,-0.028960100
1960,1.960000,home_hold,0,1.961000,0.000005141,0.000005355,0.010225135,0.010702806,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729081,0.163132424,-0.212337808,0.022708944,0.163134092,-0.212332737,0.022709368,0.434374127,0.051806708,0.032915757,-0.137178853,0.033891945,0.050200408,0.002516180,0.375278094,-0.093181038,-0.040829384,0.652434948,-0.022803304,-0.055226914,-0.026392700,-0.000011284,-0.000023123,-0.000401224,-0.000018454,0.000484024,0.000117217,0.000012398,-0.000016047,-0.000004708,0.000096642,0.300029819,-0.000157142,-0.000131865,-0.000000244,0.000284816,-0.048106591,-0.840616982,0.008575205,1.006514490,0.235715961,-0.000156190,0.000361555,-0.008814607,0.187618019,-0.002916088,-0.308641228,-0.260603618,-0.028960105
1970,1.970000,home_hold,0,1.971000,0.000005141,0.000005355,0.010225133,0.010702806,0.071867500,0.215360776,0.012730000,0.071868833,0.215355897,0.012729081,0.163132424,-0.212337808,0.022708944,0.163134091,-0.212332737,0.022709373,0.434373961,0.051806683,0.032915754,-0.137178985,0.033891949,0.050200384,0.002516179,0.375277901,-0.093181017,-0.040829390,0.652435070,-0.022803303,-0.055226904,-0.026392701,-0.000011343,-0.000023123,-0.000401211,-0.000018569,0.000484011,0.000117217,0.000012455,-0.000016119,-0.000004707,0.000096642,0.300029959,-0.000157141,-0.000131869,-0.000000174,0.000284815,-0.048106627,-0.840616994,0.008575205,1.006514520,0.235715782,-0.000156194,0.000361565,-0.008814605,0.187617804,-0.002916105,-0.308641016,-0.260603533,-0.028960110
1980,1.980000,home_hold,0,1.981000,0.000005141,0.000005355,0.010225132,0.010702805,0.071867500,0.215360776,0.012730000,0.071868832,0.215355897,0.012729081,0.163132424,-0.212337808,0.022708944,0.163134090,-0.212332737,0.022709378,0.434373794,0.051806658,0.032915752,-0.137179117,0.033891952,0.050200359,0.002516179,0.375277709,-0.093180996,-0.040829395,0.652435192,-0.022803302,-0.055226894,-0.026392702,-0.000011402,-0.000023122,-0.000401199,-0.000018685,0.000483998,0.000117217,0.000012512,-0.000016191,-0.000004707,0.000096642,0.300030099,-0.000157141,-0.000131873,-0.000000104,0.000284815,-0.048106663,-0.840617005,0.008575205,1.006514551,0.235715604,-0.000156197,0.000361575,-0.008814603,0.187617588,-0.002916122,-0.308640804,-0.260603448,-0.028960114
1990,1.990000,home_hold,0,1.991000,0.000005141,0.000005355,0.010225131,0.010702805,0.071867500,0.215360776,0.012730000,0.071868832,0.215355897,0.012729080,0.163132424,-0.212337808,0.022708944,0.163134090,-0.212332737,0.022709383,0.434373627,0.051806634,0.032915749,-0.137179249,0.033891956,0.050200335,0.002516178,0.375277517,-0.093180975,-0.040829401,0.652435313,-0.022803301,-0.055226884,-0.026392703,-0.000011461,-0.000023122,-0.000401186,-0.000018800,0.000483985,0.000117217,0.000012569,-0.000016262,-0.000004706,0.000096642,0.300030238,-0.000157140,-0.000131876,-0.000000034,0.000284814,-0.048106700,-0.840617016,0.008575205,1.006514582,0.235715425,-0.000156201,0.000361585,-0.008814601,0.187617373,-0.002916139,-0.308640593,-0.260603363,-0.028960119
2000,2.000000,step_1,0,2.001000,0.024999506,0.024739640,0.010111243,0.010573343,0.091867500,0.215360776,0.027730000,0.071868796,0.215356004,0.012729096,0.181132424,-0.224337808,0.034708944,0.163134041,-0.212332858,0.022709394,0.434576599,0.050296530,0.032280012,-0.137306327,0.033224920,0.049347204,0.002469568,0.374966260,-0.091723369,-0.039984433,0.652239346,-0.022293261,-0.054259941,-0.026272962,-0.000011520,-0.000023106,-0.000401131,-0.000018917,0.000482012,0.000115571,0.000012379,-0.000016339,-0.000004717,0.000096460,0.300030395,-0.000155515,-0.000129895,0.000000473,0.000285127,-0.048091832,-0.840574958,0.008573287,1.004555129,0.234069568,-0.000402564,0.000356626,-0.008825796,0.187434142,-0.002898753,-0.307015653,-0.258618343,-0.028522886
2010,2.010000,step_1,0,2.011000,0.024999348,0.024739325,0.010252812,0.010704263,0.091867500,0.215360776,0.027730000,0.071868980,0.215356169,0.012729113,0.181132424,-0.224337808,0.034708944,0.163134214,-0.212333151,0.022709492,0.431476449,0.051927251,0.032675230,-0.135638054,0.033641522,0.050314135,0.002605947,0.378223741,-0.091472603,-0.040464865,0.654138829,-0.022618820,-0.055287088,-0.026477066,-0.000011546,-0.000023140,-0.000401315,-0.000018599,0.000481436,0.000113396,0.000013565,-0.000016495,-0.000004645,0.000097005,0.300031085,-0.000155612,-0.000126765,-0.000000499,0.000286521,-0.048116459,-0.840599123,0.008694202,1.006273283,0.236049067,-0.000086900,0.000347374,-0.008781325,0.187669356,-0.002766600,-0.308627280,-0.260733692,-0.029023429
2020,2.020000,step_1,0,2.021000,0.024998425,0.024737887,0.010251112,0.010637916,0.091867500,0.215360776,0.027730000,0.071870141,0.215356375,0.012729104,0.181132424,-0.224337808,0.034708944,0.163135371,-0.212333998,0.022709873,0.425318247,0.051851373,0.032905240,-0.132425287,0.033851302,0.050193999,0.002652224,0.384480065,-0.087194276,-0.040126635,0.657715518,-0.022797527,-0.055116877,-0.026526533,-0.000011992,-0.000023186,-0.000401354,-0.000015782,0.000480428,0.000110778,0.000014870,-0.000016497,-0.000003716,0.000098196,0.300034907,-0.000155906,-0.000122584,-0.000001466,0.000187193,-0.048108426,-0.840610539,0.009041784,1.006612505,0.235348624,-0.000172223,0.000407184,-0.008646599,0.187796968,-0.002326173,-0.308951593,-0.260103924,-0.028922868
2030,2.030000,step_1,0,2.031000,0.024995826,0.024734024,0.010337201,0.010590652,0.091867500,0.215360776,0.027730000,0.071873459,0.215356580,0.012729011,0.181132424,-0.224337808,0.034708944,0.163138707,-0.212336075,0.022710756,0.417930865,0.051900728,0.032961261,-0.128575746,0.033884539,0.050155968,0.002672497,0.391982745,-0.082108981,-0.039537068,0.662110998,-0.022792169,-0.055051000,-0.026543772,-0.000014559,-0.000023212,-0.000401334,-0.000008752,0.000479948,0.000108063,0.000013005,-0.000014931,-0.000000475,0.000100889,0.300044278,-0.000157673,-0.000119153,0.000001152,-0.000126579,-0.048103572,-0.840608423,0.009510725,1.006585627,0.235404271,-0.000598355,0.000652758,-0.008336071,0.187939688,-0.001691355,-0.308911192,-0.260314798,-0.028439152
2040,2.040000,step_1,0,2.041000,0.024990572,0.024726296,0.010464228,0.010523332,0.091867500,0.215360776,0.027730000,0.071880196,0.215356825,0.012728788,0.181132424,-0.224337808,0.034708944,0.163145508,-0.212340215,0.022712347,0.410511875,0.052014758,0.032964900,-0.124723989,0.033865582,0.050170544,0.002631429,0.399496422,-0.076909519,-0.038908075,0.666668149,-0.022749110,-0.055025580,-0.026488136,-0.000021614,-0.000023168,-0.000401233,0.000003351,0.000479976,0.000104280,0.000004724,-0.000009717,0.000006851,0.000105254,0.300060792,-0.000160566,-0.000117655,0.000010945,-0.000687184,-0.048092361,-0.840603789,0.010037865,1.006553243,0.235326518,-0.001364314,0.001117130,-0.007846655,0.188092919,-0.000923272,-0.308907567,-0.260587793,-0.027570511
2050,2.050000,step_1,0,2.051000,0.024981759,0.024713376,0.010646643,0.010464418,0.091867500,0.215360776,0.027730000,0.071891526,0.215357095,0.012728377,0.181132424,-0.224337808,0.034708944,0.163156979,-0.212347181,0.022714810,0.403478902,0.052067341,0.032968573,-0.121087371,0.033846233,0.050155842,0.002530143,0.406579019,-0.071904380,-0.038322759,0.671158764,-0.022724671,-0.054998697,-0.026364731,-0.000035589,-0.000023028,-0.000401047,0.000020895,0.000480400,0.000099486,-0.000012857,0.000001315,0.000020015,0.000111350,0.300085538,-0.000163954,-0.000120022,0.000031162,-0.001484295,-0.048076386,-0.840592943,0.010590689,1.006562581,0.235226931,-0.002410704,0.001792006,-0.007188312,0.188228979,-0.000058018,-0.308903068,-0.261023456,-0.026388502
2060,2.060000,step_1,0,2.061000,0.024968581,0.024694074,0.010892845,0.010438847,0.091867500,0.215360776,0.027730000,0.071908492,0.215357395,0.012727733,0.181132424,-0.224337808,0.034708944,0.163174195,-0.212357672,0.022718297,0.396834266,0.052126428,0.032979771,-0.117665646,0.033835528,0.050148985,0.002378823,0.413208891,-0.067203661,-0.037789733,0.675571022,-0.022710294,-0.054993137,-0.026185938,-0.000058717,-0.000022771,-0.000400774,0.000044064,0.000481147,0.000093436,-0.000042196,0.000020144,0.000040590,0.000119160,0.300119388,-0.000167302,-0.000127723,0.000064632,-0.002492460,-0.048056825,-0.840581137,0.011159498,1.006592371,0.235130897,-0.003686790,0.002653087,-0.006381542,0.188349553,0.000890717,-0.308844970,-0.261602350,-0.024945321
2070,2.070000,step_1,0,2.071000,0.024950332,0.024667338,0.011208312,0.010471606,0.091867500,0.215360776,0.027730000,0.071932017,0.215357727,0.012726815,0.181132424,-0.224337808,0.034708944,0.163198104,-0.212372297,0.022722939,0.390451503,0.052183256,0.032994497,-0.114393019,0.033829061,0.050140645,0.002185850,0.419504631,-0.062727497,-0.037289677,0.679961429,-0.022696592,-0.054999864,-0.025959992,-0.000092963,-0.000022380,-0.000400405,0.000073015,0.000482188,0.000085962,-0.000085417,0.000048489,0.000069951,0.000128658,0.300163157,-0.000170183,-0.000142050,0.000113826,-0.003686232,-0.048033753,-0.840568449,0.011744766,1.006624006,0.235023301,-0.005161487,0.003675214,-0.005445426,0.188453175,0.001920272,-0.308726176,-0.262293324,-0.023271138
2080,2.080000,step_1,0,2.081000,0.024926382,0.024632236,0.011598877,0.010586747,0.091867500,0.215360776,0.027730000,0.071962926,0.215358095,0.012725586,0.181132424,-0.224337808,0.034708944,0.163229556,-0.212391594,0.022728863,0.384215789,0.052243219,0.033010110,-0.111210839,0.033823967,0.050132467,0.001956411,0.425584183,-0.058382481,-0.036811012,0.684383656,-0.022682085,-0.055017510,-0.025691885,-0.000140067,-0.000021839,-0.000399936,0.000107931,0.000483512,0.000076908,-0.000144417,0.000087846,0.000109304,0.000139835,0.300217648,-0.000172235,-0.000164109,0.000180957,-0.005045006,-0.048007270,-0.840554745,0.012348739,1.006653888,0.234912185,-0.006815740,0.004837785,-0.004395015,0.188540216,0.003030041,-0.308556990,-0.263083711,-0.021386396
2090,2.090000,step_1,0,2.091000,0.024896164,0.024587929,0.012068228,0.010804619,0.091867500,0.215360776,0.027730000,0.072001967,0.215358502,0.012724016,0.181132424,-0.224337808,0.034708944,0.163269313,-0.212416042,0.022736182,0.378062203,0.052307232,0.033026090,-0.108086667,0.033819523,0.050124837,0.001693809,0.431520196,-0.054101891,-0.036347324,0.688867269,-0.022667581,-0.055044423,-0.025385190,-0.000201584,-0.000021133,-0.000399360,0.000149004,0.000485109,0.000066126,-0.000220927,0.000139527,0.000159722,0.000152696,0.300283651,-0.000173145,-0.000194880,0.000268046,-0.006552629,-0.047977324,-0.840539955,0.012972026,1.006682861,0.234797899,-0.008635247,0.006124712,-0.003241935,0.188610542,0.004217992,-0.308343913,-0.263962094,-0.019307837
2100,2.100000,step_1,0,2.101000,0.024859168,0.024533660,0.012617943,0.011140438,0.091867500,0.215360776,0.027730000,0.072049820,0.215358950,0.012722076,0.181132424,-0.224337808,0.034708944,0.163318068,-0.212446075,0.022745004,0.371966751,0.052374473,0.033042618,-0.105009202,0.033815784,0.050117723,0.001400586,0.437343730,-0.049854958,-0.035895842,0.693420315,-0.022653457,-0.055079592,-0.025042873,-0.000278927,-0.000020247,-0.000398674,0.000196426,0.000486968,0.000053479,-0.000316542,0.000204702,0.000222178,0.000167250,0.300361923,-0.000172630,-0.000235253,0.000376960,-0.008195532,-0.047943890,-0.840524058,0.013613299,1.006711895,0.234682065,-0.010606847,0.007522698,-0.001995779,0.188663175,0.005480279,-0.308088870,-0.264920404,-0.017050746
2110,2.110000,step_1,0,2.111000,0.024814939,0.024468745,0.013247264,0.011603030,0.091867500,0.215360776,0.027730000,0.072107102,0.215359439,0.012719742,0.181132424,-0.224337808,0.034708944,0.163376446,-0.212482085,0.022755428,0.365926626,0.052444376,0.033059875,-0.101977916,0.033812889,0.050111342,0.001079100,0.443061934,-0.045635202,-0.035456119,0.698038619,-0.022639696,-0.055122402,-0.024667636,-0.000373379,-0.000019167,-0.000397872,0.000250366,0.000489076,0.000038840,-0.000432723,0.000284415,0.000297549,0.000183507,0.300453177,-0.000170431,-0.000286045,0.000509418,-0.009961208,-0.047906984,-0.840507090,0.014270086,1.006741422,0.234566333,-0.012717238,0.009019690,-0.000665332,0.188696602,0.006811950,-0.307792485,-0.265951323,-0.014630031
2120,2.120000,step_1,0,2.121000,0.024763078,0.024392578,0.013953264,0.012194496,0.091867500,0.215360776,0.027730000,0.072174364,0.215359972,0.012716992,0.181132424,-0.224337808,0.034708944,0.163445005,-0.212524424,0.022767544,0.359945472,0.052516499,0.033077934,-0.098995411,0.033810897,0.050105834,0.000731732,0.448673078,-0.041446628,-0.035028814,0.702713565,-0.022626261,-0.055172321,-0.024262121,-0.000486098,-0.000017879,-0.000396952,0.000310966,0.000491421,0.000022095,-0.000570802,0.000379593,0.000386630,0.000201469,0.300558073,-0.000166305,-0.000348004,0.000666991,-0.011837432,-0.047866656,-0.840489082,0.014939530,1.006771603,0.234452225,-0.014952835,0.010604019,0.000740782,0.188709117,0.008207672,-0.307455438,-0.267047531,-0.012060661
2130,2.130000,step_1,0,2.131000,0.024703238,0.024304624,0.014731263,0.012910868,0.091867500,0.215360776,0.027730000,0.072252099,0.215360548,0.012713809,0.181132424,-0.224337808,0.034708944,0.163524240,-0.212573405,0.022781435,0.354026385,0.052590707,0.033096809,-0.096063826,0.033809826,0.050101351,0.000360907,0.454174643,-0.037294963,-0.034614777,0.707436226,-0.022613167,-0.055228818,-0.023828982,-0.000618122,-0.000016370,-0.000395911,0.000378340,0.000493990,0.000003140,-0.000731971,0.000491047,0.000490126,0.000221131,0.300677218,-0.000160025,-0.000421803,0.000851101,-0.013812055,-0.047822977,-0.840470058,0.015618824,1.006802562,0.234341257,-0.017299993,0.012264115,0.002213905,0.188699084,0.009662158,-0.307078627,-0.268201523,-0.009357647
