step,t_s,segment,status,traj_t,left_error_m,right_error_m,left_speed_mps,right_speed_mps,left_target_x_m,left_target_y_m,left_target_z_m,left_actual_x_m,left_actual_y_m,left_actual_z_m,right_target_x_m,right_target_y_m,right_target_z_m,right_actual_x_m,right_actual_y_m,right_actual_z_m,tau_00_nm,tau_01_nm,tau_02_nm,tau_03_nm,tau_04_nm,tau_05_nm,tau_06_nm,tau_07_nm,tau_08_nm,tau_09_nm,tau_10_nm,tau_11_nm,tau_12_nm,tau_13_nm,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,qd_00_rad_s,qd_01_rad_s,qd_02_rad_s,qd_03_rad_s,qd_04_rad_s,qd_05_rad_s,qd_06_rad_s,qd_07_rad_s,qd_08_rad_s,qd_09_rad_s,qd_10_rad_s,qd_11_rad_s,qd_12_rad_s,qd_13_rad_s
100,0.100000,home_hold,0,0.101000,0.000005271,0.000005832,0.010225141,0.010701985,0.071867500,0.215360776,0.012730000,0.071868906,0.215355772,0.012729122,0.163132424,-0.212337808,0.022708944,0.163134206,-0.212332287,0.022708350,0.434402657,0.051812699,0.032913972,-0.137153266,0.033889105,0.050205407,0.002516802,0.375320774,-0.093196806,-0.040826337,0.652410142,-0.022800990,-0.055229318,-0.026393410,-0.000000602,-0.000022765,-0.000403633,0.000002997,0.000486941,0.000115626,0.000000556,-0.000000660,-0.000006120,0.000096537,0.300000101,-0.000158011,-0.000127888,-0.000013970,0.000285608,-0.048100585,-0.840614745,0.008575140,1.006505331,0.235752263,-0.000153829,0.000359271,-0.008812276,0.187664028,-0.002912590,-0.308676200,-0.260627366,-0.028961505
110,0.110000,home_hold,0,0.111000,0.000005268,0.000005821,0.010225083,0.010701964,0.071867500,0.215360776,0.012730000,0.071868904,0.215355775,0.012729122,0.163132424,-0.212337808,0.022708944,0.163134206,-0.212332298,0.022708356,0.434403850,0.051809481,0.032915902,-0.137154212,0.033890909,0.050204980,0.002516541,0.375319507,-0.093186225,-0.040826577,0.652409458,-0.022802360,-0.055229234,-0.026392787,-0.000000654,-0.000022773,-0.000403621,0.000002881,0.000486918,0.000115657,0.000000639,-0.000000755,-0.000006090,0.000096540,0.300000282,-0.000157999,-0.000127957,-0.000013903,0.000285580,-0.048100737,-0.840614789,0.008575131,1.006508958,0.235751934,-0.000153796,0.000359271,-0.008812183,0.187663880,-0.002912456,-0.308684425,-0.260627579,-0.028960203
120,0.120000,home_hold,0,0.121000,0.000005265,0.000005809,0.010225040,0.010701885,0.071867500,0.215360776,0.012730000,0.071868902,0.215355778,0.012729122,0.163132424,-0.212337808,0.022708944,0.163134206,-0.212332309,0.022708362,0.434403826,0.051810418,0.032916386,-0.137154399,0.033891441,0.050205048,0.002516557,0.375319003,-0.093185065,-0.040827723,0.652409430,-0.022803613,-0.055229256,-0.026392662,-0.000000706,-0.000022783,-0.000403608,0.000002765,0.000486893,0.000115689,0.000000722,-0.000000850,-0.000006058,0.000096544,0.300000463,-0.000157983,-0.000128029,-0.000013835,0.000285576,-0.048100914,-0.840614858,0.008575105,1.006508905,0.235752096,-0.000153525,0.000359290,-0.008811941,0.187663641,-0.002912467,-0.308685635,-0.260627902,-0.028960371
130,0.130000,home_hold,0,0.131000,0.000005261,0.000005797,0.010225007,0.010701827,0.071867500,0.215360776,0.012730000,0.071868901,0.215355781,0.012729122,0.163132424,-0.212337808,0.022708944,0.163134206,-0.212332322,0.022708368,0.434403458,0.051812073,0.032916287,-0.137154398,0.033891428,0.050205039,0.002516597,0.375318723,-0.093187792,-0.040828182,0.652409605,-0.022803741,-0.055229317,-0.026392712,-0.000000759,-0.000022794,-0.000403594,0.000002649,0.000486870,0.000115723,0.000000805,-0.000000944,-0.000006025,0.000096548,0.300000644,-0.000157966,-0.000128104,-0.000013766,0.000285578,-0.048101020,-0.840614872,0.008575099,1.006508409,0.235751963,-0.000153433,0.000359312,-0.008811777,0.187663310,-0.002912513,-0.308684500,-0.260628029,-0.028960574
140,0.140000,home_hold,0,0.141000,0.000005257,0.000005785,0.010225004,0.010701814,0.071867500,0.215360776,0.012730000,0.071868899,0.215355785,0.012729121,0.163132424,-0.212337808,0.022708944,0.163134205,-0.212332334,0.022708374,0.434403101,0.051813315,0.032916146,-0.137154415,0.033891352,0.050205031,0.002516608,0.375318450,-0.093190630,-0.040828379,0.652409773,-0.022803600,-0.055229342,-0.026392739,-0.000000811,-0.000022805,-0.000403581,0.000002534,0.000486847,0.000115757,0.000000888,-0.000001039,-0.000005990,0.000096551,0.300000824,-0.000157949,-0.000128179,-0.000013697,0.000285574,-0.048101060,-0.840614870,0.008575107,1.006508230,0.235751780,-0.000153461,0.000359328,-0.008811741,0.187662950,-0.002912545,-0.308683745,-0.260627914,-0.028960585
150,0.150000,home_hold,0,0.151000,0.000005254,0.000005772,0.010225015,0.010701837,0.071867500,0.215360776,0.012730000,0.071868897,0.215355788,0.012729121,0.163132424,-0.212337808,0.022708944,0.163134205,-0.212332347,0.022708381,0.434402839,0.051813846,0.032916085,-0.137154491,0.033891323,0.050205011,0.002516603,0.375318188,-0.093192254,-0.040828527,0.652409929,-0.022803544,-0.055229340,-0.026392736,-0.000000864,-0.000022816,-0.000403567,0.000002418,0.000486824,0.000115790,0.000000969,-0.000001133,-0.000005955,0.000096553,0.300001004,-0.000157931,-0.000128254,-0.000013628,0.000285563,-0.048101062,-0.840614875,0.008575117,1.006508248,0.235751521,-0.000153519,0.000359341,-0.008811801,0.187662612,-0.002912567,-0.308683451,-0.260627670,-0.028960544
160,0.160000,home_hold,0,0.161000,0.000005250,0.000005760,0.010225031,0.010701876,0.071867500,0.215360776,0.012730000,0.071868895,0.215355792,0.012729121,0.163132424,-0.212337808,0.022708944,0.163134205,-0.212332359,0.022708387,0.434402660,0.051813860,0.032916077,-0.137154610,0.033891322,0.050204981,0.002516594,0.375317944,-0.093192717,-0.040828605,0.652410090,-0.022803548,-0.055229321,-0.026392729,-0.000000916,-0.000022826,-0.000403554,0.000002302,0.000486801,0.000115823,0.000001051,-0.000001227,-0.000005922,0.000096555,0.300001184,-0.000157914,-0.000128328,-0.000013559,0.000285548,-0.048101054,-0.840614887,0.008575123,1.006508312,0.235751242,-0.000153576,0.000359353,-0.008811907,0.187662308,-0.002912588,-0.308683255,-0.260627371,-0.028960515
170,0.170000,home_hold,0,0.171000,0.000005246,0.000005748,0.010225046,0.010701917,0.071867500,0.215360776,0.012730000,0.071868893,0.215355795,0.012729121,0.163132424,-0.212337808,0.022708944,0.163134205,-0.212332371,0.022708393,0.434402525,0.051813647,0.032916087,-0.137154753,0.033891329,0.050204949,0.002516585,0.375317706,-0.093192503,-0.040828613,0.652410253,-0.022803554,-0.055229295,-0.026392725,-0.000000969,-0.000022836,-0.000403540,0.000002187,0.000486779,0.000115854,0.000001132,-0.000001321,-0.000005889,0.000096556,0.300001364,-0.000157897,-0.000128399,-0.000013489,0.000285531,-0.048101049,-0.840614903,0.008575126,1.006508371,0.235750970,-0.000153627,0.000359367,-0.008812020,0.187662024,-0.002912609,-0.308683038,-0.260627067,-0.028960497
180,0.180000,home_hold,0,0.181000,0.000005243,0.000005737,0.010225058,0.010701955,0.071867500,0.215360776,0.012730000,0.071868891,0.215355798,0.012729120,0.163132424,-0.212337808,0.022708944,0.163134204,-0.212332382,0.022708399,0.434402406,0.051813406,0.032916097,-0.137154904,0.033891334,0.050204917,0.002516576,0.375317463,-0.093192052,-0.040828587,0.652410415,-0.022803553,-0.055229268,-0.026392722,-0.000001022,-0.000022845,-0.000403527,0.000002071,0.000486757,0.000115885,0.000001212,-0.000001415,-0.000005858,0.000096558,0.300001543,-0.000157881,-0.000128468,-0.000013419,0.000285514,-0.048101052,-0.840614918,0.008575127,1.006508420,0.235750710,-0.000153675,0.000359381,-0.008812125,0.187661748,-0.002912632,-0.308682808,-0.260626777,-0.028960479
190,0.190000,home_hold,0,0.191000,0.000005240,0.000005726,0.010225067,0.010701989,0.071867500,0.215360776,0.012730000,0.071868890,0.215355801,0.012729120,0.163132424,-0.212337808,0.022708944,0.163134204,-0.212332393,0.022708405,0.434402287,0.051813221,0.032916103,-0.137155054,0.033891339,0.050204887,0.002516569,0.375317214,-0.093191613,-0.040828559,0.652410572,-0.022803549,-0.055229243,-0.026392719,-0.000001075,-0.000022855,-0.000403513,0.000001955,0.000486735,0.000115915,0.000001292,-0.000001509,-0.000005828,0.000096559,0.300001722,-0.000157865,-0.000128536,-0.000013349,0.000285498,-0.048101060,-0.840614932,0.008575129,1.006508465,0.235750459,-0.000153720,0.000359395,-0.008812217,0.187661473,-0.002912654,-0.308682575,-0.260626507,-0.028960460
